reference_id,source_type,evidence_family,included_in_primary_synthesis,doi,citation
1,review,secondary_evidence,no,10.1016/S0007-8506(07)60034-1,"Weckenmann A, Estler T, Peggs G, McMurtry D. Probing systems in dimensional metrology[J]. CIRP Annals, 2004, 53(2): 657-684. DOI: 10.1016/S0007-8506(07)60034-1."
2,review,secondary_evidence,no,10.3390/app6050150,"Thalmann R, Meli F, Küng A. State of the art of tactile micro coordinate metrology[J]. Applied Sciences, 2016, 6(5): 150. DOI: 10.3390/app6050150."
3,review,secondary_evidence,no,10.3390/metrology2010004,"Watanabe Y. Surface-sensing principle of microprobe system for micro-scale coordinate metrology: A review[J]. Metrology, 2022, 2(1): 46-72. DOI: 10.3390/metrology2010004."
4,review,secondary_evidence,no,10.3390/metrology3020009,"Hovell T, Petzing J, Guo W, et al. Measurement techniques for three-dimensional metrology of high aspect ratio internal features—A review[J]. Metrology, 2023, 3(2): 139-168. DOI: 10.3390/metrology3020009."
5,review,secondary_evidence,no,10.1016/j.measurement.2022.111794,"Jiao F, Liu L, Cheng W, et al. Review of optical measurement techniques for measuring three-dimensional topography of inner-wall-shaped parts[J]. Measurement, 2022, 202: 111794. DOI: 10.1016/j.measurement.2022.111794."
6,primary_study,tactile_probe,yes,10.1016/S0263-2241(96)00068-1,"Mayer J R R, Ghazzar A, Rossy O. 3D characterisation, modelling and compensation of the pre-travel of a kinematic touch trigger probe[J]. Measurement, 1996, 19(2): 83-94. DOI: 10.1016/S0263-2241(96)00068-1."
7,primary_study,tactile_probe,yes,10.1016/j.measurement.2003.05.001,"Woźniak A, Dobosz M. Metrological feasibilities of CMM touch trigger probes. Part I: 3D theoretical model of probe pretravel[J]. Measurement, 2003, 34(4): 273-286. DOI: 10.1016/j.measurement.2003.05.001."
8,primary_study,tactile_probe,yes,10.1016/j.measurement.2003.05.002,"Dobosz M, Woźniak A. Metrological feasibilities of CMM touch trigger probes. Part II: Experimental verification[J]. Measurement, 2003, 34(4): 287-299. DOI: 10.1016/j.measurement.2003.05.002."
9,primary_study,tactile_probe,yes,10.1016/S0007-8506(07)62363-4,"Zhang G X, Yang S M. A 3D probe for measuring small blind holes[J]. CIRP Annals, 1995, 44(1): 461-464. DOI: 10.1016/S0007-8506(07)62363-4."
10,primary_study,tactile_probe,yes,10.1109/JSEN.2008.2006701,"Peiner E, Balke M, Doering L. Slender tactile sensor for contour and roughness measurements within deep and narrow holes[J]. IEEE Sensors Journal, 2008, 8(12): 1960-1967. DOI: 10.1109/JSEN.2008.2006701."
11,primary_study,tactile_probe,yes,10.1007/s00542-009-0951-x,"Peiner E, Doering L. MEMS cantilever sensor for non-destructive metrology within high-aspect-ratio micro holes[J]. Microsystem Technologies, 2010, 16: 1259-1268. DOI: 10.1007/s00542-009-0951-x."
12,primary_study,tactile_probe,yes,10.1016/j.precisioneng.2005.07.004,"Muralikrishnan B, Stone J A, Stoup J R. Fiber deflection probe for small hole metrology[J]. Precision Engineering, 2006, 30(2): 154-164. DOI: 10.1016/j.precisioneng.2005.07.004."
13,primary_study,tactile_probe,yes,10.1016/j.sna.2012.10.030,"Cui J, Li L, Li J, Tan J. Fiber probe for micro-hole measurement based on detection of returning light energy[J]. Sensors and Actuators A: Physical, 2013, 190: 13-18. DOI: 10.1016/j.sna.2012.10.030."
14,primary_study,tactile_probe,yes,10.1364/OL.39.002868,"Cui J, Feng K, Li J, Tan J. Development of a double fiber probe with a single fiber Bragg grating for dimensional measurement of microholes with high aspect ratios[J]. Optics Letters, 2014, 39(10): 2868-2871. DOI: 10.1364/OL.39.002868."
15,primary_study,tactile_probe,yes,10.1088/0957-0233/27/7/074005,"Cui J, Li J, Feng K, et al. A 3D fiber probe based on orthogonal micro focal-length collimation and fiber Bragg grating[J]. Measurement Science and Technology, 2016, 27(7): 074005. DOI: 10.1088/0957-0233/27/7/074005."
16,primary_study,tactile_probe,yes,10.1016/j.measurement.2015.11.048,"Wedmann A, Kniel K, Krah T, Härtig F. T-shaped microprobe and gap measurement standard for inner microstructures[J]. Measurement, 2016, 94: 949-953. DOI: 10.1016/j.measurement.2015.11.048."
17,primary_study,passive_endoscopic_vision,yes,10.3837/tiis.2019.08.019,"Kim H S, Park Y S. Object dimension estimation for remote visual inspection in borescope systems[J]. KSII Transactions on Internet and Information Systems, 2019, 13(8): 4160-4173. DOI: 10.3837/tiis.2019.08.019."
18,primary_study,passive_endoscopic_vision,yes,10.1109/IROS.2011.6094911,"Hansen P, Alismail H, Browning B, Rander P. Stereo visual odometry for pipe mapping[C]//2011 IEEE/RSJ International Conference on Intelligent Robots and Systems. 2011: 4020-4025. DOI: 10.1109/IROS.2011.6094911."
19,primary_study,passive_endoscopic_vision,yes,10.1177/0278364914550133,"Hansen P, Alismail H, Rander P, Browning B. Visual mapping for natural gas pipe inspection[J]. The International Journal of Robotics Research, 2015, 34(4-5): 532-558. DOI: 10.1177/0278364914550133."
20,primary_study,passive_endoscopic_vision,yes,10.1109/ISIE45063.2020.9152377,"Kagami S, Taira H, Miyashita N, et al. 3D pipe network reconstruction based on structure from motion with incremental conic shape detection and cylindrical constraint[C]//2020 IEEE International Symposium on Industrial Electronics. 2020: 1345-1352. DOI: 10.1109/ISIE45063.2020.9152377."
21,primary_study,passive_endoscopic_vision,yes,10.1088/1361-6501/ac39d0,"Cheng Y Q, Li W L, Jiang C, et al. A novel cooling hole inspection method for turbine blade using 3D reconstruction of stereo vision[J]. Measurement Science and Technology, 2022, 33(1): 015018. DOI: 10.1088/1361-6501/ac39d0."
22,primary_study,passive_endoscopic_vision,yes,10.1109/TIM.2024.3470955,"Yang L, Zhou F, Li X, et al. 3-D vision measurement system and method for small-diameter pipeline[J]. IEEE Transactions on Instrumentation and Measurement, 2024, 73: 1-11. DOI: 10.1109/TIM.2024.3470955."
23,primary_study,passive_endoscopic_vision,yes,10.1109/34.888718,"Zhang Z. A flexible new technique for camera calibration[J]. IEEE Transactions on Pattern Analysis and Machine Intelligence, 2000, 22(11): 1330-1334. DOI: 10.1109/34.888718."
24,primary_study,passive_endoscopic_vision,yes,10.1109/ACCESS.2021.3118345,"Gu Y, Lv J, Bo J, et al. Joint dense 3D reconstruction method for endoscopic images of weak texture scenes[J]. IEEE Access, 2021, 9: 138254-138266. DOI: 10.1109/ACCESS.2021.3118345."
25,primary_study,active_optical_probe,yes,10.1117/12.999878,"Wakayama T, Machi K, Yoshizawa T. Small size probe for inner profile measurement of pipes using optical fiber ring beam device[C]//Proceedings of SPIE. 2012, 8563: 85630L. DOI: 10.1117/12.999878."
26,primary_study,active_optical_probe,yes,10.1115/MSEC2018-6453,"Zhu Y, Wang L, Gu Y, et al. A laser triangulation-based 3D measurement system for inner surface of deep holes[C]//ASME 2018 International Manufacturing Science and Engineering Conference. 2018: MSEC2018-6453. DOI: 10.1115/MSEC2018-6453."
27,primary_study,active_optical_probe,yes,10.1016/j.measurement.2023.112930,"Li T, Duan F, Fu X, et al. A novel method for 3D reconstruction in tight and restricted space based on improved line-structured light[J]. Measurement, 2023, 216: 112930. DOI: 10.1016/j.measurement.2023.112930."
