record_key,doi,openalex_id,title,authors,year,type,source,cited_by_count,query_ids,title_screen_candidate
10.1002/0471224294,10.1002/0471224294,https://openalex.org/W2498765091,Building Electro‐Optical Systems,Philip C. D. Hobbs,2000,book,,42,Q08,no
10.1002/047134608x.w8298,10.1002/047134608x.w8298,https://openalex.org/W2781525095,Structured Light Techniques and Applications,Tyler Bell; Beiwen Li; Song Zhang,2016,reference-entry,Wiley Encyclopedia of Electrical and Electronics Engineering,82,Q05;Q08,no
10.1002/14651858.cd014911.pub2,10.1002/14651858.cd014911.pub2,https://openalex.org/W4388688503,Artificial intelligence for detecting keratoconus,Magali M.S. Vandevenne; Eleonora Favuzza; Mitko Veta; Ersilia Lucenteforte; Tos T. J. M. Berendschot; Rita Mencucci; Rudy M.M.A. Nuijts; Gianni Virgili; Mor M. Dickman,2023,article,Cochrane Database of Systematic Reviews,25,Q10,no
10.1002/2014gl060906,10.1002/2014gl060906,https://openalex.org/W2145352299,Effect of bed permeability and hyporheic flow on turbulent flow over bed forms,Gianluca Blois; Jim Best; Gregory H. Sambrook Smith; R. J. Hardy,2014,article,Geophysical Research Letters,70,Q08,no
10.1002/2014jf003334,10.1002/2014jf003334,https://openalex.org/W1903016552,Flow structure caused by a local cross‐sectional area increase and curvature in a sharp river bend,Bart Vermeulen; A.J.F. Hoitink; Robert Jan Labeur,2015,article,Journal of Geophysical Research Earth Surface,66,Q02,no
10.1002/2015wr017191,10.1002/2015wr017191,https://openalex.org/W903696315,"The relative importance of head, flux, and prior information in hydraulic tomography analysis",Chak‐Hau Michael Tso; Yuanyuan Zha; Tian‐Chyi Jim Yeh; Jet‐Chau Wen,2015,article,Water Resources Research,54,Q08,no
10.1002/9781394179275.ch3,10.1002/9781394179275.ch3,https://openalex.org/W4399794311,A Microwave Photonics Optical Fiber Method for Measuring Distributed Strain for Hydrologic Applications in the Vadose and Saturated Zones,Liwei Hua; Lawrence C. Murdoch; Xuran Zhu; L. N. Germanovich; Yongji Wu; Jing Guo; R. Blais; Grant Plunkett; Olivia Costantino; Scott DeWolf; Rob Moak; Hai Xiao,2024,other,Geophysical monograph,1,Q10,no
10.1002/9781394271252.ch1,10.1002/9781394271252.ch1,https://openalex.org/W4405099558,Background,Mark K. Hinders,2024,other,,0,Q10,no
10.1002/adfm.201910004,10.1002/adfm.201910004,https://openalex.org/W3010811756,Shining Light on the Photoluminescence Properties of Metal Halide Perovskites,Katelyn P. Goetz; Alexander D. Taylor; Fabian Paulus; Yana Vaynzof,2020,article,Advanced Functional Materials,166,Q09,no
10.1002/adhm.202301961,10.1002/adhm.202301961,https://openalex.org/W4385407129,Mechanism of Action of Oxazoline‐Based Antimicrobial Polymers Against <i>Staphylococcus aureus</i>: In Vivo Antimicrobial Activity Evaluation,Matilde Concilio; Ramón Garcia Maset; Laia Pasquina-Lemonche; Vito Kontrimas; Ji‐Inn Song; Santhosh Kalash Rajendrakumar; Freya Harrison; C. Remzi Becer; Sébastien Perrier,2023,article,Advanced Healthcare Materials,26,Q09,no
10.1002/adma.202001267,10.1002/adma.202001267,https://openalex.org/W3022664721,A Generalized Surface Chalcogenation Strategy for Boosting the Electrochemical N<sub>2</sub> Fixation of Metal Nanocrystals,Chengyong Yang; Bolong Huang; Shuxing Bai; Yonggang Feng; Qi Shao; Xiaoqing Huang,2020,article,Advanced Materials,132,Q02,no
